scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,probability_p_json,probability_q_json,replicates,permutations,mean_deterministic_ms,mean_permutation_ms,naive_perm_plugin_fpr_10,naive_perm_plugin_fpr_05,student_perm_plugin_fpr_10,student_perm_plugin_fpr_05,student_perm_analytic_fpr_10,student_perm_analytic_fpr_05,student_perm_jackknife_fpr_10,student_perm_jackknife_fpr_05,wald_plugin_fpr_10,wald_plugin_fpr_05,wald_analytic_fpr_10,wald_analytic_fpr_05,wald_jackknife_fpr_10,wald_jackknife_fpr_05
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2492876155070392,1,0.030000000000000138,0.029999999999999916,2.220446049250313e-16,0.05529016967073272,0.05821320795934803,0.05819051352220911,0.16638626217677482,0.1759471774962478,66.55450487070993,70.37887099849912,0.0,0.0,0.0,0.0,True,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.29079965261341945, 0.1759471774962478], [0.20198939900276, 0.33126377088757286]]",1000,999,0.1950339674949646,1.3034408468520269,0.108,0.052,0.108,0.052,0.108,0.052,0.108,0.052,0.097,0.04,0.097,0.04,0.097,0.04
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,0.6034176765386606,1.1622274507854284,2,0.14999999999999147,0.14999999999998714,4.3298697960381105e-15,1.571299871797553,0.25247065506725563,0.359636630280866,0.0910816736666828,0.019651381328841408,10.929800840001935,9.432663037843875,0.0,0.0,0.0,0.25,True,"[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]","[[0.8767316095654594, 0.031007722922778442], [0.019651381328841408, 0.07260928618292081]]",1000,999,0.15285813808441162,1.0363448115531355,0.29,0.213,0.106,0.048,0.09,0.039,0.088,0.035,0.122,0.061,0.123,0.064,0.122,0.066
random_2x5_d1,1,1,2,5,500,1000,0.07,20.0,5.0,0.43523826023831086,0.555239503305204,1,0.06999999999998985,0.06999999999998363,6.217248937900877e-15,0.7012100313026225,0.12706946945974942,0.12230214920659685,0.014799835610635172,0.004001738797317231,7.399917805317586,4.0017387973172305,0.0,0.0,0.0,0.0,True,"[[0.09687360237151889, 0.10972943773027419, 0.14822261500010606, 0.08446153098724522, 0.17271319684004308], [0.014799835610635172, 0.11599057754986189, 0.04783641529320978, 0.14588565452747532, 0.0634871340896304]]","[[0.03144906271137988, 0.004001738797317231, 0.0836420078108851, 0.035824083863829195, 0.12802304224138478], [0.08752262310942445, 0.09444600940294196, 0.2285793539257609, 0.20504916327444672, 0.10146291486262987]]",1000,999,0.15440131537616253,1.5969799383310601,0.167,0.091,0.086,0.042,0.087,0.035,0.088,0.035,0.083,0.035,0.085,0.033,0.085,0.033
random_3x3_d4,2,4,3,3,180,360,0.07,10.0,0.8,0.42441702638706613,0.9095269245073277,1,0.06999999999997542,0.06999999999999984,-2.4424906541753444e-14,1.112838632853584,0.1273793907094799,0.12257096663840959,0.016182876611374963,5.35669774057582e-06,2.9129177900474934,0.0019284111866072953,0.0,0.3333333333333333,0.0,0.3333333333333333,True,"[[0.14074388190282594, 0.03103202613161152, 0.016182876611374963], [0.11350907383569679, 0.15820870604065868, 0.14734377807789226], [0.19702577331388396, 0.12648069583209484, 0.06947318825396108]]","[[0.1853892295649204, 0.4903457841043284, 0.0022278898711623855], [0.16596928462767754, 0.09481118008668997, 0.0013447114961550666], [0.002569862217630599, 0.05733670133369513, 5.35669774057582e-06]]",1000,999,0.15431923035066575,1.6019384901737794,0.157,0.096,0.105,0.047,0.117,0.053,0.11,0.055,0.113,0.049,0.124,0.062,0.12,0.069
random_3x7_d3,3,3,3,7,4200,4200,0.03,1.0,0.5,0.38157074738664154,0.3406214102713063,1,0.030000000000000027,0.03000000000000025,-2.220446049250313e-16,1.4224070318842263,0.05678687551067069,0.05473980476372557,4.086641330104155e-05,1.3378942590868022e-06,0.1716389358643745,0.0056191558881645695,0.23809523809523808,0.14285714285714285,0.3333333333333333,0.23809523809523808,True,"[[4.086641330104155e-05, 0.00015577545711145064, 0.0005593801772850209, 0.00021378607934517544, 0.00044629881985447774, 0.00015329573769946165, 5.3166554215112366e-05], [0.00826086476220602, 0.04817490688722055, 0.1410126686658878, 0.04628176515504081, 0.2986441208900775, 0.06493088182341322, 0.023005135068836797], [0.020056575167475527, 0.036784243740068376, 0.042758073976567834, 0.042491002451867745, 0.17778646564702832, 0.014703005725097229, 0.033487720800400585]]","[[0.01647431682168308, 3.737289202026121e-05, 0.0030568507684117672, 0.1308875829472051, 0.025937702543568607, 0.015879624611757542, 0.0067407771827771345], [0.20233995539316116, 0.00036517644339585875, 0.01473611414773453, 0.3068685670372276, 0.11814199934166436, 0.08974002247535819, 0.05722355675216016], [0.0017286553579841369, 1.3378942590868022e-06, 0.0002065277141809517, 0.004495073457105439, 0.0012421112924884902, 0.003353094104013961, 0.0005435808218426832]]",1000,999,0.1586296510649845,2.7276705079711974,0.011,0.004,0.087,0.037,0.087,0.037,0.089,0.037,0.09,0.035,0.09,0.035,0.09,0.037
random_4x6_d5,4,5,4,6,240,960,0.15,2.0,20.0,0.656163048003235,0.6263072124245942,1,0.15000000000000013,0.1499999999999999,2.220446049250313e-16,0.8741385262691701,0.23713124633113292,0.2416467574452628,0.0003343937048834584,0.006191487038178262,0.08025448917203001,5.943827556651131,0.125,0.0,0.4166666666666667,0.0,True,"[[0.0003343937048834584, 0.01804013269732058, 0.006455878897554548, 0.012084504579398306, 0.013925780694193618, 0.011347575776005633], [0.006174567119882772, 0.0823444998362348, 0.017593267798924873, 0.01062355108734521, 0.09409304297343563, 0.006954467686426748], [0.011359714472572972, 0.0641335699691991, 0.13148670651330258, 0.08120906772433463, 0.10013328739055796, 0.1776044447841938], [0.0005552395111014849, 0.08224044174524907, 0.005040288247369767, 0.007279807425953587, 0.026169402315317572, 0.032816367049241305]]","[[0.06715868024563429, 0.05047546409456619, 0.049160347182835955, 0.01742157161156392, 0.03258951638845231, 0.01949623145957857], [0.0794592151755762, 0.02939579513726761, 0.04473216109916623, 0.017614771964707572, 0.04854592168073063, 0.029365074333957856], [0.006191487038178262, 0.02168837331479185, 0.024189480992233073, 0.06304761014218777, 0.07220658603153284, 0.06034279717200341], [0.011438425827726036, 0.06405901890043601, 0.03834531217334928, 0.09622194680383132, 0.02487691270834678, 0.03197729852134619]]",1000,999,0.15897105494514108,3.08806793182157,0.092,0.049,0.093,0.045,0.101,0.059,0.11,0.065,0.174,0.091,0.111,0.064,0.124,0.073
random_5x5_d2,5,2,5,5,625,2500,0.15,5.0,1.2,0.6136451130598095,1.2750062343013817,1,0.15000000000009273,0.1499999999999997,9.303668946358812e-14,1.5445406646424018,0.2434594805667569,0.2812877584641947,0.0036403266150137658,1.5625735864941315e-05,2.275204134383604,0.03906433966235329,0.0,0.04,0.08,0.28,True,"[[0.10968473042987058, 0.0669743954687792, 0.17329883885809744, 0.032444411331838646, 0.08604111323139498], [0.0036403266150137658, 0.007342289263665367, 0.02908422935410468, 0.003995419952930465, 0.023746907675859196], [0.02197083529901679, 0.01797153358620807, 0.008590070382838409, 0.03477153779169132, 0.12834391114462274], [0.00783842911318559, 0.0073687612656142005, 0.012243097930904948, 0.022115326636219935, 0.012528864969933601], [0.01702702548892377, 0.008614559597525152, 0.09936873697407861, 0.03797109646219963, 0.027023551175483038]]","[[0.03277320066583892, 0.0001364801589431683, 0.017104851649484398, 0.002348089236752121, 0.00028124115278230655], [0.11795447889699669, 0.019012050272145375, 0.02522701709063251, 0.23655065763207966, 0.0028191911643849323], [0.2960098859650347, 0.0001228349333919642, 0.009185383277313417, 0.15747277694301623, 0.009011540902623235], [0.004917374945631028, 0.0003710541015691555, 0.0005787778569119614, 0.0353475677915099, 0.015692202454414533], [0.0012702261746377597, 1.5625735864941315e-05, 0.0035579506767872125, 0.011771519627527222, 0.00046802069372657237]]",1000,999,0.16045346297323704,3.3020426861476153,0.065,0.034,0.086,0.048,0.104,0.058,0.109,0.058,0.116,0.061,0.109,0.063,0.117,0.061
random_5x10_d1,6,1,5,10,2500,5000,0.07,20.0,5.0,0.3883779153383477,0.42632683545269995,1,0.06999999999999984,0.07000000000002116,-2.1316282072803006e-14,0.6050075943169486,0.13921095587562776,0.12747999627920892,0.004940421578960194,0.0017399647198537416,12.351053947400485,8.699823599268708,0.0,0.0,0.0,0.0,True,"[[0.019945451504169747, 0.018129434619721885, 0.022879554381847238, 0.012428584832287556, 0.013016316671006244, 0.004940421578960194, 0.03865408346436668, 0.020636687726353433, 0.02729330018626359, 0.009703442948852734], [0.022912700494196272, 0.007261733735695831, 0.011973432963166742, 0.01832545521231421, 0.02192559194936452, 0.030135744448855688, 0.021596265172887777, 0.01902738568048971, 0.017047540364149353, 0.027422866681330586], [0.011548497825780355, 0.013997288799114209, 0.011027270396102866, 0.037069760124631805, 0.01756053500745737, 0.008724921314427841, 0.010954829887757271, 0.013597925935857014, 0.011100912198722222, 0.01962791563330525], [0.013503636715476447, 0.03391883146314665, 0.01811056992831672, 0.01548968749849819, 0.017200005031106448, 0.010387786968217759, 0.022969549293270063, 0.03581575486258588, 0.019471522607285425, 0.014307506132535334], [0.0146412110591082, 0.014723590477558897, 0.026715322364105912, 0.013181043192723512, 0.03383763773330387, 0.02276193512205767, 0.03926279572054548, 0.036797693606753695, 0.018127803099234622, 0.03831026538473294]]","[[0.012857050257688013, 0.0037244315192431843, 0.009066271998123203, 0.011324551110808342, 0.010253327721304347, 0.006042541640857267, 0.009352769593849621, 0.0068080557027700534, 0.0033672492619590635, 0.008359339130752756], [0.02690617329038736, 0.03782353029749589, 0.0483264836559237, 0.037753231769169365, 0.022913620052040593, 0.04985849327318881, 0.07243496143622445, 0.03444173225189499, 0.05001081558322655, 0.03025529117147443], [0.0048727011609575035, 0.004781087685210336, 0.004199658687982759, 0.019337579925754814, 0.007901087626587708, 0.0017399647198537416, 0.012030613189340063, 0.01678196888580398, 0.010639827072235802, 0.006068504839363657], [0.00628449474953873, 0.007109625170814852, 0.013623864512218389, 0.02208444039039013, 0.013780459985903423, 0.003841088966683129, 0.016981302071557118, 0.02651605363632034, 0.014762677732953916, 0.03639974024691126], [0.03308523057123757, 0.021690831547257945, 0.014577239530971706, 0.028061575099236635, 0.015256569140941027, 0.02508502053357864, 0.019897643709918096, 0.044050488468706905, 0.01287689904026642, 0.04380184038312147]]",1000,999,0.16482002043630928,5.572842352208681,0.172,0.084,0.065,0.03,0.095,0.043,0.094,0.044,0.093,0.038,0.086,0.04,0.087,0.039
random_8x8_d4,7,4,8,8,1280,2560,0.07,10.0,0.8,0.39139633393548273,0.39708036073755587,1,0.07000000000000028,0.06999999999999962,6.661338147750939e-16,0.8619644442059129,0.13325964181396233,0.13664748828238596,0.004888807488570944,9.705710654307589e-05,6.257673585370808,0.2484661927502743,0.0,0.03125,0.0,0.125,True,"[[0.015282954203199311, 0.017751245604229336, 0.019164338175590996, 0.010543983898283933, 0.017505495208533037, 0.010192381077721836, 0.00759490401107013, 0.009594615988138077], [0.008072513105547215, 0.004888807488570944, 0.011385520578663218, 0.010446818190188112, 0.005437583717384274, 0.005523212595361977, 0.022224211885064703, 0.0054959344876848015], [0.005085433798787192, 0.0051370911915061285, 0.016596174404811464, 0.005813947959860596, 0.010152689282342161, 0.010329756774771383, 0.010380229700725281, 0.015508150796474947], [0.009181649039064821, 0.015502378556949402, 0.023628631010445853, 0.026334427512499155, 0.008134266059011644, 0.007039908015672973, 0.008202211570739368, 0.015419255172537059], [0.026571047393619613, 0.016083760626696253, 0.020677909371346087, 0.011684068431545387, 0.023110164075400192, 0.016481404592350497, 0.019184614098853678, 0.007988192922212369], [0.015255062591607435, 0.013122253272504082, 0.029349491201170294, 0.03763407012265113, 0.017907059634672897, 0.019172145617345152, 0.007910924558991238, 0.012747226140236798], [0.02003484696761398, 0.028679649580242942, 0.029753370879562344, 0.019165610644536084, 0.02281476894667569, 0.023695952866773468, 0.015984151036873798, 0.024187812486159553], [0.021155017908138306, 0.019562326235384373, 0.008179700696311175, 0.019570376585811476, 0.010883216683761446, 0.010410606154474217, 0.037035672415470296, 0.020456804199576458]]","[[0.03066617888716142, 0.03152723457830521, 0.00871093312040781, 0.011122514951046329, 0.0015869710005305291, 0.016020647699127918, 0.08084766459033495, 0.032488347734055796], [0.008562039722186164, 0.006976262971080247, 0.0010663137517328213, 0.0010744119459757534, 0.00034350849238082065, 0.00492585621008896, 0.010030952925247139, 0.011557440825817318], [0.009564299516663951, 0.006395573886290904, 0.003576184916537483, 0.004561565269557349, 0.00018574498090950922, 0.0029640303338486214, 0.02045558595358891, 0.018758987157559977], [0.014528765722586663, 0.019598070514480342, 0.012880434490582727, 0.006085777046399514, 0.0005332429260874569, 0.005409761400288349, 0.020635252790939147, 0.025180691172218037], [0.017921014237259825, 0.02697535799903738, 0.0042065371282489425, 0.0048240799938901804, 0.00030301663280067533, 0.005046571511177721, 0.011090776877727724, 0.0391151047325338], [0.02563855199103136, 0.014682829250313285, 0.009725806873108417, 0.006606891824937108, 0.0013779847314953162, 0.0313017486684753, 0.02315237630045256, 0.057371680741809476], [0.01765227863305084, 0.007593027085301141, 0.0016346310326513466, 0.0013397049967210205, 9.705710654307589e-05, 0.001971858891330759, 0.010136010559027915, 0.013081428279924867], [0.059152578619849884, 0.01626927564027569, 0.014076494983368562, 0.009171612956770834, 0.0016814172994317575, 0.013522679795540164, 0.0746946031324777, 0.049763764009417205]]",1000,999,0.16705941420514137,6.822765952558257,0.126,0.069,0.08,0.048,0.12,0.064,0.12,0.064,0.164,0.083,0.105,0.053,0.109,0.055
random_8x12_d0,8,0,8,12,9600,9600,0.03,50.0,50.0,0.25893587521047884,0.24428596392018664,1,0.030000000000012683,0.029999999999999805,1.2878587085651816e-14,0.3055938792523905,0.05753065906225108,0.058910954314265684,0.0037577858301078566,0.004364024179233396,36.074743969035424,41.8946321206406,0.0,0.0,0.0,0.0,True,"[[0.008036504310324929, 0.009551627108131686, 0.004542822284645012, 0.012183206900056974, 0.004707315052070687, 0.009642755528054757, 0.0037577858301078566, 0.009340057701767598, 0.005875935406978471, 0.009111323654394899, 0.010629197699192995, 0.012447009334784266], [0.007398809102885088, 0.009949778040195737, 0.009819368321951027, 0.005893312282750313, 0.017317907593147254, 0.005185553425280459, 0.01081712034807333, 0.005746246448270693, 0.01905810964136716, 0.012439106783435929, 0.008679355888993615, 0.010252925868783874], [0.007016185434866011, 0.013013884187234826, 0.01044075973447133, 0.010997956671926365, 0.017445890399854506, 0.011284207650406584, 0.00738031313350629, 0.010799305637070553, 0.012303528686222438, 0.009172631423997477, 0.013148294649261781, 0.007484734061208448], [0.006303798736644031, 0.00942853846379364, 0.007378201014312822, 0.008607268367786561, 0.012859115070348735, 0.007300365467739887, 0.006489331141482785, 0.007242764451613972, 0.00921649493186374, 0.00441957074659989, 0.008510106893530232, 0.011227883515522846], [0.00969703274305512, 0.011003600159806474, 0.007146695165289354, 0.009718747856127174, 0.01564488795355816, 0.009441587243236495, 0.010662021898478207, 0.00849189044312843, 0.011653896919279032, 0.0088600126813938, 0.013966016164490634, 0.011718780920416269], [0.009265027933807733, 0.01735951699166923, 0.008716007715601612, 0.010873739536722547, 0.012424142496486174, 0.00671248422629204, 0.009991529859830968, 0.009523502353979967, 0.011609016493038752, 0.011660072769841441, 0.019192865025945093, 0.015439297578245328], [0.004886561528049505, 0.015275435210825257, 0.008541378528532356, 0.01475388202166236, 0.007398503716661468, 0.010483912551058109, 0.011137893898329344, 0.015491131162455606, 0.009509440214671235, 0.0062426604502867486, 0.012076146012159162, 0.010923017234418393], [0.011402616667464168, 0.010680815153151503, 0.016164917130009206, 0.012122020492443437, 0.01112669376566139, 0.010628883086930857, 0.01008362741814141, 0.011501005245150965, 0.014699966936498273, 0.014093521628481744, 0.016796209974994696, 0.011353121815332509]]","[[0.009177399302329156, 0.010703406918165456, 0.006590982469258522, 0.010677580508824324, 0.011082648403399967, 0.009676374099733159, 0.010253181312212874, 0.010872333028881864, 0.013912729274392058, 0.006915630867955705, 0.008766011736990842, 0.012256934094632863], [0.0071327695990413085, 0.010348777552852849, 0.008407331549563513, 0.014795696356126355, 0.01909778902939532, 0.010627010835652937, 0.008309519593980684, 0.0068400030767382805, 0.009856863910007067, 0.015430974473388596, 0.006027178463989018, 0.009961061159903311], [0.009833143115790182, 0.015334112637181808, 0.00834195182096578, 0.013371981034209494, 0.0068790487597071934, 0.015718459893723773, 0.01908509099730966, 0.009994678201604231, 0.015024728165247728, 0.011364998601452873, 0.008935010736334887, 0.017854061574375184], [0.011830281524420071, 0.008915229486634771, 0.004364024179233396, 0.009639841409515262, 0.005487412710718062, 0.01199454292715577, 0.00951537906833981, 0.007871468020054518, 0.00958836016382389, 0.0075594768546441635, 0.009159928645838922, 0.009064727273801552], [0.010049123870480502, 0.009324292528548469, 0.0066792154863414875, 0.008538992034980883, 0.010930422794636048, 0.00859962879799234, 0.0133162883564588, 0.007621335961789442, 0.008459060985076958, 0.006698507511330795, 0.013005480166236517, 0.010003428088069321], [0.008255665508871607, 0.013859915820154563, 0.010511350613590063, 0.00897468609608404, 0.010478257380932958, 0.010884676486579911, 0.008762037319132545, 0.0070595157623081165, 0.009564819690778149, 0.009823424055936208, 0.007755291671219404, 0.014379583515658129], [0.0067829350245034335, 0.013735765731426201, 0.010042395717458541, 0.006842755751059706, 0.010632180145903366, 0.018941712462754147, 0.013181539969495011, 0.010657430682318962, 0.011280578561323222, 0.010119547148597294, 0.01879733773851299, 0.007898657578735596], [0.01080321946028459, 0.008695201094150385, 0.008092241551418853, 0.01465961648461438, 0.013107401832206622, 0.007379515943061564, 0.014461329389318487, 0.009426624434010825, 0.006647082894845926, 0.01183410748048887, 0.009977556080184984, 0.008020140920639799]]",1000,999,0.17210681969299912,9.58691332640592,0.215,0.147,0.121,0.067,0.121,0.067,0.121,0.067,0.106,0.059,0.106,0.059,0.106,0.059
